year,cum_em_co2_ppm,co2_atm_total_ppm,ch4_atm_total_ppb,n2o_atm_total_ppb,global_land_temp_C,global_ocean_temp_C
1880,2.3837314461734,287.77,278.2,847.48,-0.52,-0.02
1881,2.49682111958505,289.3333333333333,278.3,849.4540000000001,-0.45,0.01
1882,2.61625868749616,290.89666666666665,278.4,851.428,-0.48,0.0
1883,2.74327462226049,292.46,278.5,853.402,-0.69,-0.04
1884,2.87172014986572,289.49,278.59999999999997,855.376,-0.73,-0.14
1885,3.00112399286549,288.805,278.7,857.35,-0.59,-0.17
1886,3.13255491830166,288.12,278.78,859.3240000000001,-0.52,-0.17
1887,3.27056104823995,294.34,278.86,861.298,-0.5,-0.23
1888,3.42337179920864,293.34,278.94,863.272,-0.46,-0.05
1889,3.57612770875618,292.34,279.02000000000004,865.246,-0.33,-0.03
1890,3.7425554052114705,290.92,279.1,867.22,-0.55,-0.29
1891,3.9167281710642303,293.045,279.18,869.528,-0.57,-0.15
1892,4.09234129302745,295.17,279.26,871.836,-0.55,-0.23
1893,4.26585263033807,295.09,279.34000000000003,874.144,-0.58,-0.24
1894,4.4454163847715105,293.49,279.42,876.452,-0.45,-0.27
1895,4.63581362629928,294.024,279.5,878.76,-0.45,-0.17
1896,4.83242345265187,294.558,279.56,881.068,-0.38,0.0
1897,5.038340816368369,295.09200000000004,279.62,883.376,-0.31,-0.03
1898,5.255542315025529,295.62600000000003,279.68,885.684,-0.43,-0.22
1899,5.49282435881666,296.16,279.74,887.992,-0.25,-0.13
1900,5.74310984172868,294.22,279.8,890.3,-0.18,-0.05
1901,6.001680735797609,294.915,279.90000000000003,894.654,-0.15,-0.17
1902,6.26680287328044,295.61,280.0,899.008,-0.31,-0.24
1903,6.556036144084299,295.8,280.1,903.362,-0.41,-0.37
1904,6.848338996863281,295.99,280.2,907.716,-0.47,-0.46
1905,7.1595343348299405,299.02,280.3,912.07,-0.37,-0.25
1906,7.486387282940729,298.48,280.44,916.748,-0.19,-0.22
1907,7.85601077352031,299.4866666666667,280.58,921.426,-0.63,-0.29
1908,8.2116732783894,300.49333333333334,280.72,926.104,-0.46,-0.43
1909,8.58137787789327,301.5,280.86,930.782,-0.43,-0.45
1910,8.96911402915309,297.87,281.0,935.46,-0.37,-0.42
1911,9.3639258769502,298.36,281.16,940.664,-0.5,-0.43
1912,9.777378810709969,299.83000000000004,281.32,945.868,-0.5,-0.28
1913,10.2247418096644,301.3,281.48,951.072,-0.33,-0.32
1914,10.63068069992,300.7,281.64,956.2760000000001,-0.07,-0.17
1915,11.031120200094302,301.31,281.8,961.48,-0.09,-0.1
1916,11.4632301084528,301.92,282.02,967.23,-0.47,-0.26
1917,11.915335737130198,302.885,282.24,972.98,-0.64,-0.29
1918,12.361330519507101,303.85,282.46,978.73,-0.5,-0.21
1919,12.7478652848679,304.61,282.68,984.48,-0.34,-0.21
1920,13.197310335814,301.88,282.9,990.23,-0.37,-0.18
1921,13.591670382557398,302.81666666666666,283.12,996.224,-0.15,-0.17
1922,14.0051939182402,303.75333333333333,283.34,1002.2180000000001,-0.27,-0.24
1923,14.474384443487699,304.69,283.56,1008.212,-0.3,-0.24
1924,14.9450596592656,304.765,283.78,1014.206,-0.26,-0.24
1925,15.419056753182899,304.84,284.0,1020.2,-0.16,-0.19
1926,15.8857117596408,305.50666666666666,284.2,1025.97,-0.02,-0.1
1927,16.3953497550075,306.1733333333333,284.4,1031.74,-0.22,-0.16
1928,16.9067488262911,306.84,284.6,1037.51,-0.14,-0.2
1929,17.4565403520102,305.62,284.8,1043.28,-0.49,-0.27
1930,17.964650219365698,305.68,285.0,1049.05,-0.12,-0.11
1931,18.4186126401788,305.74,285.18,1054.548,-0.02,-0.08
1932,18.828166195132997,308.26,285.36,1060.046,-0.04,-0.17
1933,19.2594141449864,307.11,285.53999999999996,1065.5439999999999,-0.36,-0.22
1934,19.7285835280973,308.35,285.71999999999997,1071.042,-0.07,-0.13
1935,20.2214529901388,306.32,285.9,1076.54,-0.18,-0.15
1936,20.7626501732374,308.3,286.06,1081.712,-0.13,-0.12
1937,21.342184456813698,307.41,286.21999999999997,1086.884,-0.02,-0.01
1938,21.888662433114,311.07,286.38,1092.056,0.18,-0.1
1939,22.4656670920721,310.83,286.53999999999996,1097.228,0.1,-0.03
1940,23.094038045595298,310.38,286.7,1102.4,0.07,0.2
1941,23.737868129446305,309.77,286.92,1107.6860000000001,0.1,0.35
1942,24.3836609723845,312.37,287.14,1112.972,0.06,0.13
1943,25.052045021219,312.365,287.36,1118.258,0.07,0.12
1944,25.715924001066096,312.36,287.58,1123.5439999999999,0.2,0.32
1945,26.2711798081063,310.94,287.8,1128.83,-0.07,0.3
1946,26.877338960985696,312.26,288.04,1135.4099999999999,-0.01,-0.01
1947,27.5483215706173,311.61,288.28000000000003,1141.99,0.04,-0.07
1948,28.2537549716055,311.57,288.52,1148.57,0.06,-0.1
1949,28.925799941570805,309.69,288.76,1155.15,-0.06,-0.08
1950,29.667202395596302,312.83,289.0,1161.73,-0.32,-0.09
1951,30.4650164267995,312.505,289.22,1170.79,-0.06,0.02
1952,31.273591036759097,312.18,289.44,1179.85,-0.05,0.08
1953,32.1047052145478,312.45500000000004,289.66,1188.91,0.2,0.1
1954,32.954130020296496,312.73,289.88,1197.97,-0.12,-0.09
1955,33.8841540326383,314.71,290.1,1207.03,-0.11,-0.13
1956,34.874005678905995,315.34,290.36,1218.218,-0.4,-0.1
1957,35.8945628831212,315.34,290.62,1229.406,-0.03,0.11
1958,36.947246909404,315.34,290.88,1240.594,0.15,0.12
1959,38.0990675677061,315.97,291.14,1251.782,0.08,0.08
1960,39.3048779393977,316.91,291.4,1262.97,0.0,0.07
1961,40.5160157451258,317.64,291.7,1276.07,0.13,0.09
1962,41.776625509974004,318.45,292.0,1289.17,0.16,0.09
1963,43.1065386862661,318.99,292.29999999999995,1302.27,0.22,0.08
1964,44.512083948377295,319.62,292.59999999999997,1315.3700000000001,-0.21,-0.11
1965,45.981289593455905,320.04,292.9,1328.47,-0.12,-0.05
1966,47.524736812432096,321.38,293.29999999999995,1343.414,-0.05,0.01
1967,49.11757372839661,322.16,293.7,1358.358,0.02,-0.01
1968,50.7914479416528,323.04,294.09999999999997,1373.3020000000001,-0.11,0.01
1969,52.5656482563503,324.62,294.5,1388.246,-0.07,0.18
1970,54.4679043145335,325.68,294.9,1403.19,0.05,0.06
1971,56.442415482707005,326.32,295.4,1419.266,-0.02,-0.08
1972,58.4956361348586,327.45,295.9,1435.342,-0.16,0.11
1973,60.660252911208204,329.68,296.4,1451.418,0.35,0.14
1974,62.828741389384305,330.18,296.9,1467.494,-0.18,-0.02
1975,64.9846807921767,331.11,297.4,1483.57,0.15,-0.04
1976,67.26559354306329,332.04,297.87333333333333,1499.97,-0.22,-0.01
1977,69.6175523299916,333.83,298.34666666666664,1516.37,0.26,0.19
1978,71.99594006908991,335.4,298.82,1532.77,0.12,0.12
1979,74.50663017405749,336.84,300.04,1549.53,0.19,0.24
1980,76.9909073436251,338.75,300.65,1566.28,0.33,0.26
1981,79.3981795979663,340.11,301.23,1583.48,0.53,0.25
1982,81.78455983352809,341.45,303.56,1600.69,0.12,0.22
1983,84.1613778010128,343.05,303.78,1617.89,0.52,0.3
1984,86.62371481435919,344.65,304.02,1635.09,0.08,0.2
1985,89.1598258400476,346.12,304.54,1652.29,0.11,0.18
1986,91.7732437931812,347.42,305.37,1669.49,0.31,0.21
1987,94.45283829981341,349.19,305.55,1680.66,0.46,0.36
1988,97.23092915205939,351.57,306.49,1698.83,0.59,0.32
1989,100.06965629292499,353.12,307.48,1710.52,0.37,0.27
1990,102.91190366361201,354.39,308.78,1709.33,0.67,0.37
1991,105.78587308055002,355.61,309.57,1729.07,0.54,0.33
1992,108.629824251184,356.45,310.0,1731.05,0.25,0.23
1993,111.468398656129,357.1,310.25,1735.65,0.36,0.25
1994,114.35575245505102,358.83,310.98,1741.66,0.49,0.29
1995,117.303789695963,360.82,311.78,1747.1,0.79,0.35
1996,120.317886888288,362.61,312.81,1749.86,0.36,0.31
1997,123.382257518913,363.73,313.53,1753.94,0.65,0.47
1998,126.45555333456302,366.7,314.2,1762.43,0.99,0.52
1999,129.52187583287198,368.38,315.15,1772.33,0.79,0.31
2000,132.668683113968,369.55,316.14,1774.07,0.64,0.34
2001,135.889719539947,371.14,316.89,1772.95,0.86,0.46
2002,139.15639632921298,373.28,317.47,1773.14,0.97,0.49
2003,142.598943277569,375.8,318.21,1777.41,0.96,0.52
2004,146.21073764274098,377.52,318.93,1775.44,0.83,0.49
2005,149.95929062365502,379.8,319.6,1774.55,1.1,0.51
2006,153.84006896180603,381.9,320.37,1776.4,0.99,0.5
2007,157.796870451237,383.79,321.14,1781.75,1.14,0.43
2008,161.88124372142596,385.6,322.11,1789.94,0.91,0.41
2009,165.920435220493,387.43,322.88,1793.63,0.92,0.54
2010,170.157402823052,389.9,323.7,1796.84,1.17,0.56
2011,174.55975510999002,391.65,324.61,1803.42,0.93,0.44
2012,179.03410892941298,393.85,325.58,1810.33,0.98,0.51
2013,183.54544188347003,396.52,326.53,1815.44,1.05,0.53
2014,188.094951257765,398.65,327.61,1824.4,1.03,0.63
2015,192.63894061237897,400.83,328.51,1834.63,1.42,0.74
2016,197.210139512475,404.24,329.29,1842.4,1.54,0.79
2017,201.842607427681,406.55,329.29,1849.63,1.41,0.72
2018,206.528826598602,408.52,329.29,1857.62,1.22,0.68
